species,region_id,source_row_id,label,split,Chr,Position,Strand,Local_Position,EditingLevel,source_file
Strongylocentrotus,Scaffold51:+:551842:552888,30167,yes,train,Scaffold51,552670,+,564,0.2229965156794425,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20426,yes,train,Scaffold275,99215,-,1248,0.7586206896551724,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold10:-:2180510:2181381,323,no,train,Scaffold10,2181140,-,249,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold696:+:80563:80725,35029,yes,train,Scaffold696,80711,+,171,0.3307984790874524,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold156:+:385980:387652,10437,yes,train,Scaffold156,387563,+,349,0.2704918032786885,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold725:-:301551:301631,35735,no,train,Scaffold725,301566,-,111,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold469:+:214893:215001,28873,no,train,Scaffold469,215016,+,157,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2916:+:32220:33567,21239,yes,train,Scaffold2916,32278,+,63,0.3412698412698413,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold51:+:551842:552888,30096,yes,train,Scaffold51,552055,+,234,0.8533333333333334,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1043:-:175237:175989,1232,yes,train,Scaffold1043,175903,-,16,0.2714681440443213,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1135:+:105190:105442,3609,no,train,Scaffold1135,105176,+,14,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold297:-:176665:176811,21750,no,train,Scaffold297,176822,-,35,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold266:+:111980:112305,19846,no,train,Scaffold266,112193,+,168,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold464:-:551056:553027,28678,yes,train,Scaffold464,551391,-,296,0.1543810848400556,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold84:+:662190:663016,38459,no,train,Scaffold84,662318,+,175,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2008:+:53169:53462,14236,yes,train,Scaffold2008,53414,+,142,0.1863799283154122,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold371:-:326333:327918,24715,no,train,Scaffold371,327625,-,302,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1356:+:47781:48281,8216,yes,train,Scaffold1356,47946,+,169,0.4495073891625615,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold149:-:191923:193755,9665,yes,train,Scaffold149,192256,-,60,0.5327102803738317,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold474:-:90813:91489,29072,yes,train,Scaffold474,91423,-,68,0.1709401709401709,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold650:+:262822:262998,34314,yes,train,Scaffold650,262869,+,72,0.1704035874439461,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold149:-:191923:193755,9659,no,train,Scaffold149,192094,-,228,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1086:-:95960:96402,1872,no,train,Scaffold1086,96211,-,206,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold193:-:94325:94371,13614,no,train,Scaffold193,94152,-,1155,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1236:-:16599:19153,6128,no,train,Scaffold1236,17902,-,285,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold3529:+:21751:22530,24167,yes,train,Scaffold3529,21785,+,50,0.5276073619631901,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold934:+:47879:49239,40252,yes,train,Scaffold934,48435,+,245,0.5555555555555556,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2378:-:71808:72956,17078,no,train,Scaffold2378,72493,-,502,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1427:-:40608:42052,9377,yes,train,Scaffold1427,42047,-,22,0.2892561983471074,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold84:+:662190:663016,38505,no,train,Scaffold84,663062,+,406,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1544:-:131550:131996,10216,no,train,Scaffold1544,131739,-,267,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1236:-:16599:19153,6110,yes,train,Scaffold1236,17861,-,326,0.555984555984556,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold202:-:281348:282078,14404,no,train,Scaffold202,282062,-,47,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold43:-:787663:787922,27367,no,train,Scaffold43,787682,-,162,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1417:+:57360:57784,9078,yes,train,Scaffold1417,57520,+,56,0.1596244131455399,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold247:-:463164:463423,18381,no,train,Scaffold247,463294,-,154,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold110:+:1030898:1031207,2298,no,train,Scaffold110,1031162,+,282,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1221:+:7965:8229,5596,no,train,Scaffold1221,8028,+,116,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2137:-:42229:42846,15381,yes,train,Scaffold2137,42349,-,360,0.1526315789473684,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold388:-:642909:643491,25821,no,train,Scaffold388,643481,-,66,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold116:-:387831:388236,4038,yes,train,Scaffold116,388234,-,24,0.1612903225806451,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1043:-:175237:175989,1206,yes,train,Scaffold1043,175803,-,116,0.3770491803278688,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold973:-:54353:54633,40690,no,train,Scaffold973,54332,-,327,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold58:+:606690:607139,32759,no,train,Scaffold58,607202,+,321,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold120:+:600326:600849,4895,yes,train,Scaffold120,600842,+,461,0.7711864406779662,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20418,yes,train,Scaffold275,99193,-,1270,0.7647058823529411,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20358,yes,train,Scaffold275,96660,-,2043,0.982608695652174,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold28:+:724810:725575,20692,yes,train,Scaffold28,724831,+,24,0.3677419354838709,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold698:-:217562:219294,35254,no,train,Scaffold698,218259,-,178,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold213:+:620713:620954,15300,yes,train,Scaffold213,620883,+,220,0.1840490797546012,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold371:+:467811:469220,24773,yes,train,Scaffold371,468491,+,27,0.4071428571428571,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold973:+:279612:279688,40828,no,train,Scaffold973,279212,+,416,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold89:-:667333:667820,39400,no,train,Scaffold89,667417,-,209,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2596:+:95966:98171,19769,no,train,Scaffold2596,98240,+,437,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold127:-:778561:778858,6856,yes,train,Scaffold127,778573,-,222,0.2623376623376623,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold539:+:91442:91760,31069,no,train,Scaffold539,91503,+,60,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold66:+:829216:829545,34546,no,train,Scaffold66,829484,+,240,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold127:-:778561:778858,6879,no,train,Scaffold127,778765,-,148,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1356:+:47781:48281,8175,yes,train,Scaffold1356,47811,+,31,0.4753451676528599,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold697:-:497444:497918,35201,yes,train,Scaffold697,497885,-,39,0.6857142857142857,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold366:-:420534:421375,24543,no,train,Scaffold366,421344,-,54,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2515:+:78208:78752,19184,no,train,Scaffold2515,78392,+,214,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold106:-:253277:254335,1692,no,train,Scaffold106,254300,-,46,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold331:+:74817:75066,23188,no,train,Scaffold331,75063,+,246,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold15:-:447460:447746,9907,yes,train,Scaffold15,447746,-,9,0.1708633093525179,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold372:-:305517:306762,24880,no,train,Scaffold372,306704,-,107,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold369:-:279624:280140,24625,yes,train,Scaffold369,280121,-,33,0.9516129032258064,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold3581:-:11877:12198,24304,no,train,Scaffold3581,12000,-,133,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold79:+:358883:359148,37025,no,train,Scaffold79,359184,+,236,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1086:-:95960:96402,1903,yes,train,Scaffold1086,96300,-,117,0.1970443349753694,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2875:+:141124:141444,21056,yes,train,Scaffold2875,141432,+,366,0.8597285067873304,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold439:+:76305:76360,27709,no,train,Scaffold439,76384,+,122,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold180:-:320605:320816,12746,no,train,Scaffold180,320822,-,13,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1086:-:95960:96402,1913,yes,train,Scaffold1086,96339,-,78,0.8454106280193237,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold563:-:221150:221607,31797,no,train,Scaffold563,221475,-,166,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold28:+:724810:725575,20691,yes,train,Scaffold28,724830,+,23,0.3290322580645161,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold149:-:313290:315160,9680,no,train,Scaffold149,313289,-,362,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2107:-:94508:94704,15096,no,train,Scaffold2107,94679,-,54,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold227:+:420718:420944,16367,yes,train,Scaffold227,420937,+,241,0.2729885057471264,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold37:+:728607:729174,24640,no,train,Scaffold37,728988,+,28,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1:+:74506:75214,20,yes,train,Scaffold1,74523,+,66,0.2107438016528925,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1037:-:96993:97276,953,no,train,Scaffold1037,96954,-,269,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1005:+:162080:162288,477,no,train,Scaffold1005,162059,+,90,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold449:+:203373:206106,28025,no,train,Scaffold449,205650,+,179,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold97:+:290686:290906,40642,yes,train,Scaffold97,290885,+,171,0.3213166144200627,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold371:-:326333:327918,24754,yes,train,Scaffold371,327894,-,29,0.3076923076923077,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold79:+:358883:359148,36975,no,train,Scaffold79,358922,+,75,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold69:-:935217:935400,34739,yes,train,Scaffold69,935244,-,184,0.5730337078651685,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold354:-:325217:325398,24210,yes,train,Scaffold354,325276,-,62,0.615,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold71:-:166359:166386,35556,yes,train,Scaffold71,166384,-,193,0.2112068965517241,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold54:-:627695:627912,31176,yes,train,Scaffold54,627756,-,127,0.3314285714285714,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2515:+:78208:78752,19143,yes,train,Scaffold2515,78250,+,72,0.5436507936507936,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold973:+:279612:279688,40862,no,train,Scaffold973,279394,+,598,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2089:+:32103:32352,14652,yes,train,Scaffold2089,32340,+,221,0.6655518394648829,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold342:+:363740:366263,23577,yes,train,Scaffold342,364773,+,80,0.396551724137931,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1212:-:104147:104426,5384,no,train,Scaffold1212,104169,-,262,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold936:+:12879:13138,40271,yes,train,Scaffold936,13058,+,196,0.2642857142857143,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold139:-:628182:628437,8585,no,train,Scaffold139,628166,-,1171,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold155:-:522856:524330,10314,yes,train,Scaffold155,524314,-,44,0.3007407407407407,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold347:-:413239:415478,23795,no,train,Scaffold347,413439,-,346,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold275:-:96343:100307,20427,yes,train,Scaffold275,99226,-,1237,0.2451612903225806,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold562:-:183470:183603,31698,yes,train,Scaffold562,183471,-,178,0.4964664310954063,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1120:-:274208:274410,3173,yes,train,Scaffold1120,274387,-,87,0.5752285951787198,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold74:+:51817:52198,35921,no,train,Scaffold74,52093,+,177,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold855:-:182784:183968,38679,yes,train,Scaffold855,183269,-,150,0.3275109170305676,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold71:-:113949:114289,35520,no,train,Scaffold71,114015,-,328,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold973:+:279612:279688,40807,no,train,Scaffold973,279140,+,344,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold37:+:728607:729174,24684,no,train,Scaffold37,729144,+,160,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold222:-:204714:204865,15911,yes,train,Scaffold222,204733,-,158,0.3031914893617021,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold371:+:467811:469220,24840,no,train,Scaffold371,469235,+,250,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1057:+:38957:39340,1501,no,train,Scaffold1057,38926,+,29,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold650:+:262822:262998,34339,no,train,Scaffold650,262944,+,152,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1356:+:47781:48281,8199,no,train,Scaffold1356,47901,+,124,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold3746:+:9420:9704,25186,no,train,Scaffold3746,9414,+,2,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold25:-:97643:98266,18783,yes,train,Scaffold25,98025,-,278,0.2054263565891473,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold202:-:281348:282078,14379,no,train,Scaffold202,282018,-,91,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold635:+:335328:335637,34056,no,train,Scaffold635,335624,+,237,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold61:+:106933:107147,33412,yes,train,Scaffold61,106971,+,60,0.852112676056338,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold625:-:95371:95979,33590,yes,train,Scaffold625,95935,-,59,0.5398230088495575,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold354:-:325217:325398,24230,yes,train,Scaffold354,325330,-,8,0.6433408577878104,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold975:+:159109:159311,41094,no,train,Scaffold975,159124,+,26,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold837:-:69258:69562,38159,no,train,Scaffold837,69291,-,294,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold635:+:335328:335637,34059,yes,train,Scaffold635,335636,+,249,0.1721311475409836,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold140:-:134928:136260,8869,yes,train,Scaffold140,135085,-,62,0.6615384615384615,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold625:-:95371:95979,33564,yes,train,Scaffold625,95805,-,191,0.1666666666666666,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold936:+:12879:13138,40269,yes,train,Scaffold936,13047,+,185,0.2631578947368421,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold381:-:111506:111799,25483,yes,train,Scaffold381,111770,-,54,0.6645161290322581,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold223:+:564349:565669,16137,yes,train,Scaffold223,564473,+,189,0.2213855421686747,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold139:-:628182:628437,8535,no,train,Scaffold139,628031,-,1306,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1356:+:47781:48281,8220,yes,train,Scaffold1356,47958,+,181,0.2168486739469578,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1057:+:38957:39340,1578,no,train,Scaffold1057,39272,+,290,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold706:+:385693:386070,35373,yes,train,Scaffold706,385707,+,52,0.6887661141804788,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2764:-:33241:33829,20590,no,train,Scaffold2764,33665,-,159,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold130:+:668761:669315,7388,yes,train,Scaffold130,669161,+,284,0.8707865168539326,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold350:-:87437:87759,24032,yes,train,Scaffold350,87693,-,51,0.1843575418994413,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1043:-:175237:175989,1183,no,train,Scaffold1043,175332,-,252,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold53:-:995504:995778,30917,no,train,Scaffold53,995553,-,145,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1107:+:42700:42982,2507,no,train,Scaffold1107,42962,+,177,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold121:+:570137:570404,5331,yes,train,Scaffold121,570307,+,180,0.723781388478582,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold324:-:53542:53661,22955,yes,train,Scaffold324,53661,-,57,0.5076923076923077,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold122:+:729380:729413,5471,no,train,Scaffold122,729285,+,177,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold258:+:168280:168462,19566,no,train,Scaffold258,168506,+,243,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold28:+:502050:502321,20648,yes,train,Scaffold28,502087,+,44,0.3564668769716088,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold474:-:90813:91489,29063,yes,train,Scaffold474,91391,-,100,0.6747967479674797,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold698:-:217562:219294,35237,no,train,Scaffold698,218201,-,236,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2875:+:138708:138933,20988,yes,train,Scaffold2875,138848,+,157,0.3810810810810811,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1037:-:96993:97276,968,yes,train,Scaffold1037,96994,-,229,0.5533707865168539,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1005:+:162080:162288,500,no,train,Scaffold1005,162243,+,215,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1107:-:152330:152547,2530,yes,train,Scaffold1107,152547,-,37,0.5723270440251572,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold119:-:1082201:1082389,4689,no,train,Scaffold119,1082464,-,40,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold975:+:94837:95239,41065,yes,train,Scaffold975,95239,+,484,0.3557692307692308,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2137:+:42228:42842,15438,yes,train,Scaffold2137,42743,+,388,1,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold52:-:789740:790403,30606,yes,train,Scaffold52,789741,-,365,0.4166666666666667,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1329:-:320984:321443,7790,no,train,Scaffold1329,321432,-,23,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1043:-:175237:175989,1200,yes,train,Scaffold1043,175780,-,139,0.2936507936507936,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold625:-:143622:144093,33614,yes,train,Scaffold625,143696,-,336,0.3222591362126246,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold923:-:188939:189034,39988,no,train,Scaffold923,188928,-,173,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1120:-:274208:274410,3178,yes,train,Scaffold1120,274404,-,70,0.8731707317073171,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold297:-:176665:176811,21701,yes,train,Scaffold297,176728,-,129,0.6283185840707964,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1023:-:34571:35157,565,yes,train,Scaffold1023,34886,-,206,0.2752293577981651,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold2137:+:42228:42842,15431,yes,train,Scaffold2137,42714,+,359,0.847457627118644,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold149:-:191923:193755,9615,no,train,Scaffold149,191917,-,405,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold18:-:333770:334613,12616,no,train,Scaffold18,334244,-,436,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold347:-:413239:415478,23766,no,train,Scaffold347,413361,-,424,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold121:+:570137:570404,5271,no,train,Scaffold121,570145,+,14,0,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold120:+:600326:600849,4845,yes,train,Scaffold120,600351,+,27,0.4575471698113207,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold1146:+:148601:148917,3870,yes,train,Scaffold1146,148843,+,82,0.6460176991150443,Strongylocentrotus_prebalancing.csv.gz
Strongylocentrotus,Scaffold110:+:1030898:1031207,2302,no,train,Scaffold110,1031185,+,305,0,Strongylocentrotus_prebalancing.csv.gz
