split,label,position,n,available_n,missing_n,missing_fraction
valid,0,11,1920,1815,105,0.0546875
valid,0,12,1920,1808,112,0.058333333333333334
valid,0,13,1920,1794,126,0.065625
valid,0,14,1920,1788,132,0.06875
valid,0,15,1920,1776,144,0.075
valid,0,16,1920,1766,154,0.08020833333333334
valid,0,17,1920,1756,164,0.08541666666666667
valid,0,18,1920,1747,173,0.09010416666666667
valid,0,19,1920,1740,180,0.09375
valid,0,20,1920,1734,186,0.096875
valid,0,21,1920,1726,194,0.10104166666666667
valid,0,22,1920,1722,198,0.103125
valid,0,23,1920,1712,208,0.10833333333333334
valid,0,24,1920,1702,218,0.11354166666666667
valid,0,25,1920,1695,225,0.1171875
valid,0,26,1920,1688,232,0.12083333333333333
valid,0,27,1920,1681,239,0.12447916666666667
valid,0,28,1920,1675,245,0.12760416666666666
valid,0,29,1920,1667,253,0.13177083333333334
valid,0,30,1920,1656,264,0.1375
valid,0,31,1920,1654,266,0.13854166666666667
valid,0,32,1920,1653,267,0.1390625
valid,0,33,1920,1652,268,0.13958333333333334
valid,0,34,1920,1650,270,0.140625
valid,0,35,1920,1646,274,0.14270833333333333
valid,0,36,1920,1643,277,0.14427083333333332
valid,0,37,1920,1641,279,0.1453125
valid,0,38,1920,1637,283,0.14739583333333334
valid,0,39,1920,1630,290,0.15104166666666666
valid,0,40,1920,1621,299,0.15572916666666667
valid,0,41,1920,1616,304,0.15833333333333333
valid,0,42,1920,1613,307,0.15989583333333332
valid,0,43,1920,1611,309,0.1609375
valid,0,44,1920,1610,310,0.16145833333333334
valid,0,45,1920,1609,311,0.16197916666666667
valid,0,46,1920,1608,312,0.1625
valid,0,47,1920,1604,316,0.16458333333333333
valid,0,48,1920,1600,320,0.16666666666666666
valid,0,49,1920,1594,326,0.16979166666666667
valid,0,50,1920,1594,326,0.16979166666666667
valid,1,-50,1873,1761,112,0.0597971169247197
valid,1,-49,1873,1766,107,0.057127602776294716
valid,1,-48,1873,1766,107,0.057127602776294716
valid,1,-47,1873,1766,107,0.057127602776294716
valid,1,-46,1873,1768,105,0.05605979711692472
valid,1,-45,1873,1769,104,0.055525894287239724
valid,1,-44,1873,1771,102,0.05445808862786973
valid,1,-43,1873,1773,100,0.053390282968499736
valid,1,-42,1873,1774,99,0.05285638013881474
valid,1,-41,1873,1777,96,0.05125467164975974
valid,1,-40,1873,1781,92,0.04911906033101975
valid,1,-39,1873,1783,90,0.04805125467164976
valid,1,-38,1873,1784,89,0.04751735184196476
valid,1,-37,1873,1785,88,0.046983449012279764
valid,1,-36,1873,1786,87,0.04644954618259477
valid,1,-35,1873,1789,84,0.044847837693539776
valid,1,-34,1873,1791,82,0.04378003203416978
valid,1,-33,1873,1796,77,0.041110517885744796
valid,1,-32,1873,1799,74,0.039508809396689805
valid,1,-31,1873,1802,71,0.037907100907634814
valid,1,-30,1873,1802,71,0.037907100907634814
valid,1,-29,1873,1802,71,0.037907100907634814
valid,1,-28,1873,1809,64,0.03416978109983983
valid,1,-27,1873,1820,53,0.02829684997330486
valid,1,-26,1873,1833,40,0.021356113187399894
valid,1,-25,1873,1837,36,0.019220501868659905
valid,1,-24,1873,1838,35,0.01868659903897491
valid,1,-23,1873,1840,33,0.01761879337960491
valid,1,-22,1873,1842,31,0.016550987720234916
valid,1,-21,1873,1845,28,0.014949279231179925
valid,1,-20,1873,1848,25,0.013347570742124934
valid,1,-19,1873,1850,23,0.012279765082754938
valid,1,-18,1873,1852,21,0.011211959423384944
valid,1,-17,1873,1854,19,0.01014415376401495
valid,1,-16,1873,1858,15,0.00800854244527496
valid,1,-15,1873,1858,15,0.00800854244527496
valid,1,-14,1873,1861,12,0.006406833956219968
valid,1,-13,1873,1863,10,0.005339028296849973
valid,1,-12,1873,1863,10,0.005339028296849973
valid,1,-11,1873,1864,9,0.004805125467164976
valid,1,-10,1873,1867,6,0.003203416978109984
valid,1,-9,1873,1869,4,0.002135611318739989
valid,1,-8,1873,1869,4,0.002135611318739989
valid,1,-7,1873,1869,4,0.002135611318739989
valid,1,-6,1873,1869,4,0.002135611318739989
valid,1,-5,1873,1870,3,0.001601708489054992
valid,1,-4,1873,1872,1,0.0005339028296849973
valid,1,-3,1873,1873,0,0.0
valid,1,-2,1873,1873,0,0.0
valid,1,-1,1873,1873,0,0.0
valid,1,0,1873,1873,0,0.0
valid,1,1,1873,1873,0,0.0
valid,1,2,1873,1872,1,0.0005339028296849973
valid,1,3,1873,1872,1,0.0005339028296849973
valid,1,4,1873,1872,1,0.0005339028296849973
valid,1,5,1873,1872,1,0.0005339028296849973
valid,1,6,1873,1872,1,0.0005339028296849973
valid,1,7,1873,1872,1,0.0005339028296849973
valid,1,8,1873,1872,1,0.0005339028296849973
valid,1,9,1873,1872,1,0.0005339028296849973
valid,1,10,1873,1872,1,0.0005339028296849973
valid,1,11,1873,1872,1,0.0005339028296849973
valid,1,12,1873,1871,2,0.0010678056593699946
valid,1,13,1873,1871,2,0.0010678056593699946
valid,1,14,1873,1871,2,0.0010678056593699946
valid,1,15,1873,1871,2,0.0010678056593699946
valid,1,16,1873,1871,2,0.0010678056593699946
valid,1,17,1873,1870,3,0.001601708489054992
valid,1,18,1873,1868,5,0.0026695141484249867
valid,1,19,1873,1868,5,0.0026695141484249867
valid,1,20,1873,1864,9,0.004805125467164976
valid,1,21,1873,1863,10,0.005339028296849973
valid,1,22,1873,1862,11,0.0058729311265349705
valid,1,23,1873,1859,14,0.007474639615589963
valid,1,24,1873,1858,15,0.00800854244527496
valid,1,25,1873,1855,18,0.009610250934329953
valid,1,26,1873,1846,27,0.014415376401494928
valid,1,27,1873,1838,35,0.01868659903897491
valid,1,28,1873,1838,35,0.01868659903897491
valid,1,29,1873,1838,35,0.01868659903897491
valid,1,30,1873,1837,36,0.019220501868659905
valid,1,31,1873,1834,39,0.020822210357714897
valid,1,32,1873,1830,43,0.022957821676454885
valid,1,33,1873,1828,45,0.02402562733582488
valid,1,34,1873,1826,47,0.025093432995194873
valid,1,35,1873,1821,52,0.027762947143619862
valid,1,36,1873,1820,53,0.02829684997330486
valid,1,37,1873,1817,56,0.02989855846235985
valid,1,38,1873,1804,69,0.03683929524826481
valid,1,39,1873,1790,83,0.04431393486385478
valid,1,40,1873,1785,88,0.046983449012279764
valid,1,41,1873,1785,88,0.046983449012279764
valid,1,42,1873,1785,88,0.046983449012279764
valid,1,43,1873,1784,89,0.04751735184196476
valid,1,44,1873,1784,89,0.04751735184196476
valid,1,45,1873,1784,89,0.04751735184196476
valid,1,46,1873,1784,89,0.04751735184196476
valid,1,47,1873,1783,90,0.04805125467164976
valid,1,48,1873,1779,94,0.05018686599038975
valid,1,49,1873,1778,95,0.050720768820074744
valid,1,50,1873,1777,96,0.05125467164975974
test,0,-50,2325,2181,144,0.06193548387096774
test,0,-49,2325,2190,135,0.05806451612903226
test,0,-48,2325,2192,133,0.05720430107526882
test,0,-47,2325,2198,127,0.0546236559139785
test,0,-46,2325,2199,126,0.05419354838709677
test,0,-45,2325,2202,123,0.05290322580645161
test,0,-44,2325,2211,114,0.04903225806451613
test,0,-43,2325,2217,108,0.04645161290322581
test,0,-42,2325,2220,105,0.04516129032258064
test,0,-41,2325,2226,99,0.04258064516129032
test,0,-40,2325,2228,97,0.04172043010752688
test,0,-39,2325,2230,95,0.04086021505376344
test,0,-38,2325,2234,91,0.03913978494623656
test,0,-37,2325,2238,87,0.03741935483870968
test,0,-36,2325,2243,82,0.03526881720430108
test,0,-35,2325,2249,76,0.032688172043010756
test,0,-34,2325,2251,74,0.031827956989247314
test,0,-33,2325,2254,71,0.03053763440860215
test,0,-32,2325,2261,64,0.027526881720430108
test,0,-31,2325,2263,62,0.02666666666666667
test,0,-30,2325,2270,55,0.023655913978494623
test,0,-29,2325,2270,55,0.023655913978494623
test,0,-28,2325,2274,51,0.02193548387096774
test,0,-27,2325,2276,49,0.021075268817204302
test,0,-26,2325,2281,44,0.0189247311827957
test,0,-25,2325,2282,43,0.018494623655913978
test,0,-24,2325,2283,42,0.01806451612903226
test,0,-23,2325,2287,38,0.016344086021505378
test,0,-22,2325,2291,34,0.014623655913978495
test,0,-21,2325,2291,34,0.014623655913978495
test,0,-20,2325,2293,32,0.013763440860215054
test,0,-19,2325,2295,30,0.012903225806451613
test,0,-18,2325,2296,29,0.012473118279569893
test,0,-17,2325,2300,25,0.010752688172043012
test,0,-16,2325,2302,23,0.00989247311827957
test,0,-15,2325,2303,22,0.00946236559139785
test,0,-14,2325,2305,20,0.008602150537634409
test,0,-13,2325,2310,15,0.0064516129032258064
test,0,-12,2325,2313,12,0.005161290322580645
test,0,-11,2325,2315,10,0.004301075268817204
test,0,-10,2325,2315,10,0.004301075268817204
test,0,-9,2325,2315,10,0.004301075268817204
test,0,-8,2325,2316,9,0.003870967741935484
test,0,-7,2325,2318,7,0.003010752688172043
test,0,-6,2325,2319,6,0.0025806451612903226
test,0,-5,2325,2320,5,0.002150537634408602
test,0,-4,2325,2323,2,0.0008602150537634409
test,0,-3,2325,2323,2,0.0008602150537634409
test,0,-2,2325,2325,0,0.0
test,0,-1,2325,2325,0,0.0
test,0,0,2325,2325,0,0.0
test,0,1,2325,2325,0,0.0
test,0,2,2325,2314,11,0.004731182795698925
test,0,3,2325,2304,21,0.00903225806451613
test,0,4,2325,2284,41,0.01763440860215054
test,0,5,2325,2271,54,0.023225806451612905
test,0,6,2325,2253,72,0.03096774193548387
test,0,7,2325,2235,90,0.03870967741935484
test,0,8,2325,2217,108,0.04645161290322581
test,0,9,2325,2199,126,0.05419354838709677
test,0,10,2325,2190,135,0.05806451612903226
test,0,11,2325,2174,151,0.06494623655913978
test,0,12,2325,2156,169,0.07268817204301076
test,0,13,2325,2138,187,0.08043010752688172
test,0,14,2325,2125,200,0.08602150537634409
test,0,15,2325,2114,211,0.09075268817204302
test,0,16,2325,2101,224,0.09634408602150538
test,0,17,2325,2085,240,0.1032258064516129
test,0,18,2325,2078,247,0.10623655913978494
test,0,19,2325,2066,259,0.1113978494623656
test,0,20,2325,2057,268,0.11526881720430107
test,0,21,2325,2049,276,0.11870967741935484
test,0,22,2325,2043,282,0.12129032258064516
test,0,23,2325,2038,287,0.12344086021505377
test,0,24,2325,2028,297,0.12774193548387097
test,0,25,2325,2025,300,0.12903225806451613
test,0,26,2325,2019,306,0.13161290322580646
test,0,27,2325,2016,309,0.1329032258064516
test,0,28,2325,2009,316,0.13591397849462367
test,0,29,2325,1999,326,0.14021505376344087
test,0,30,2325,1991,334,0.14365591397849461
test,0,31,2325,1991,334,0.14365591397849461
test,0,32,2325,1988,337,0.1449462365591398
test,0,33,2325,1984,341,0.14666666666666667
test,0,34,2325,1981,344,0.14795698924731182
test,0,35,2325,1977,348,0.14967741935483872
test,0,36,2325,1973,352,0.1513978494623656
test,0,37,2325,1970,355,0.15268817204301074
test,0,38,2325,1965,360,0.15483870967741936
test,0,39,2325,1959,366,0.15741935483870967
test,0,40,2325,1956,369,0.15870967741935485
test,0,41,2325,1956,369,0.15870967741935485
test,0,42,2325,1952,373,0.16043010752688172
test,0,43,2325,1949,376,0.16172043010752687
test,0,44,2325,1942,383,0.16473118279569893
test,0,45,2325,1938,387,0.1664516129032258
test,0,46,2325,1937,388,0.16688172043010752
test,0,47,2325,1935,390,0.16774193548387098
test,0,48,2325,1933,392,0.16860215053763442
test,0,49,2325,1932,393,0.16903225806451613
test,0,50,2325,1927,398,0.17118279569892472
test,1,-50,2539,2409,130,0.05120126033871603
test,1,-49,2539,2413,126,0.049625836943678614
test,1,-48,2539,2420,119,0.046868846002363136
test,1,-47,2539,2422,117,0.04608113430484443
test,1,-46,2539,2425,114,0.044899566758566364
test,1,-45,2539,2427,112,0.04411185506104766
test,1,-44,2539,2431,108,0.04253643166601024
test,1,-43,2539,2434,105,0.04135486411973218
test,1,-42,2539,2435,104,0.04096100827097282
test,1,-41,2539,2436,103,0.04056715242221347
test,1,-40,2539,2436,103,0.04056715242221347
test,1,-39,2539,2437,102,0.040173296573454115
test,1,-38,2539,2438,101,0.03977944072469476
test,1,-37,2539,2438,101,0.03977944072469476
test,1,-36,2539,2442,97,0.03820401732965734
test,1,-35,2539,2443,96,0.03781016148089799
test,1,-34,2539,2444,95,0.03741630563213864
test,1,-33,2539,2447,92,0.03623473808586058
test,1,-32,2539,2449,90,0.035447026388341865
test,1,-31,2539,2451,88,0.03465931469082316
test,1,-30,2539,2452,87,0.034265458842063806
test,1,-29,2539,2453,86,0.03387160299330445
test,1,-28,2539,2461,78,0.03072075620322962
test,1,-27,2539,2475,64,0.02520677432059866
test,1,-26,2539,2484,55,0.021662071681764473
test,1,-25,2539,2488,51,0.020086648286727057
test,1,-24,2539,2495,44,0.01732965734541158
test,1,-23,2539,2496,43,0.016935801496652227
test,1,-22,2539,2498,41,0.016148089799133517
test,1,-21,2539,2504,35,0.013784954706577392
test,1,-20,2539,2508,31,0.012209531311539977
test,1,-19,2539,2511,28,0.011027963765261915
test,1,-18,2539,2517,22,0.00866482867270579
test,1,-17,2539,2518,21,0.008270972823946435
test,1,-16,2539,2521,18,0.0070894052776683735
test,1,-15,2539,2523,16,0.006301693580149665
test,1,-14,2539,2527,12,0.004726270185112249
test,1,-13,2539,2528,11,0.004332414336352895
test,1,-12,2539,2528,11,0.004332414336352895
test,1,-11,2539,2533,6,0.0023631350925561244
test,1,-10,2539,2534,5,0.0019692792437967705
test,1,-9,2539,2534,5,0.0019692792437967705
test,1,-8,2539,2535,4,0.0015754233950374162
test,1,-7,2539,2536,3,0.0011815675462780622
test,1,-6,2539,2537,2,0.0007877116975187081
test,1,-5,2539,2539,0,0.0
test,1,-4,2539,2539,0,0.0
test,1,-3,2539,2539,0,0.0
test,1,-2,2539,2539,0,0.0
test,1,-1,2539,2539,0,0.0
test,1,0,2539,2539,0,0.0
test,1,1,2539,2539,0,0.0
test,1,2,2539,2539,0,0.0
test,1,3,2539,2539,0,0.0
test,1,4,2539,2539,0,0.0
test,1,5,2539,2538,1,0.00039385584875935406
test,1,6,2539,2538,1,0.00039385584875935406
test,1,7,2539,2538,1,0.00039385584875935406
test,1,8,2539,2538,1,0.00039385584875935406
test,1,9,2539,2538,1,0.00039385584875935406
test,1,10,2539,2538,1,0.00039385584875935406
test,1,11,2539,2537,2,0.0007877116975187081
test,1,12,2539,2536,3,0.0011815675462780622
test,1,13,2539,2536,3,0.0011815675462780622
test,1,14,2539,2536,3,0.0011815675462780622
test,1,15,2539,2536,3,0.0011815675462780622
test,1,16,2539,2536,3,0.0011815675462780622
test,1,17,2539,2534,5,0.0019692792437967705
test,1,18,2539,2531,8,0.0031508467900748325
test,1,19,2539,2531,8,0.0031508467900748325
test,1,20,2539,2528,11,0.004332414336352895
test,1,21,2539,2527,12,0.004726270185112249
test,1,22,2539,2527,12,0.004726270185112249
test,1,23,2539,2525,14,0.005513981882630957
test,1,24,2539,2523,16,0.006301693580149665
test,1,25,2539,2518,21,0.008270972823946435
test,1,26,2539,2508,31,0.012209531311539977
test,1,27,2539,2501,38,0.014966522252855455
test,1,28,2539,2501,38,0.014966522252855455
test,1,29,2539,2501,38,0.014966522252855455
test,1,30,2539,2499,40,0.015754233950374164
test,1,31,2539,2498,41,0.016148089799133517
test,1,32,2539,2495,44,0.01732965734541158
test,1,33,2539,2492,47,0.018511224891689642
test,1,34,2539,2491,48,0.018905080740448995
test,1,35,2539,2488,51,0.020086648286727057
test,1,36,2539,2485,54,0.02126821583300512
test,1,37,2539,2482,57,0.022449783379283182
test,1,38,2539,2467,72,0.028357621110673494
test,1,39,2539,2454,85,0.03347774714454509
test,1,40,2539,2448,91,0.03584088223710122
test,1,41,2539,2447,92,0.03623473808586058
test,1,42,2539,2445,94,0.037022449783379284
test,1,43,2539,2445,94,0.037022449783379284
test,1,44,2539,2444,95,0.03741630563213864
test,1,45,2539,2442,97,0.03820401732965734
test,1,46,2539,2438,101,0.03977944072469476
test,1,47,2539,2435,104,0.04096100827097282
test,1,48,2539,2427,112,0.04411185506104766
test,1,49,2539,2425,114,0.044899566758566364
test,1,50,2539,2424,115,0.04529342260732572
