substrate_idx,seq_len,paired_frac,mfe_kcal_mol,bp_distance,fixed_eq_mfe,mean_pair_prob,mean_entropy
49,617,0.849271,-480.7,0,1,0.850132,0.034764
50,601,0.848586,-450.2,0,1,0.837439,0.050612
51,625,0.8544,-487.4,0,1,0.856622,0.051982
52,544,0.8125,-357.3,0,1,0.800563,0.116478
53,620,0.787097,-430.1,0,1,0.80751,0.078436
54,540,0.796296,-362.7,0,1,0.792378,0.09057
55,597,0.80737,-441.2,0,1,0.80572,0.052929
56,621,0.866345,-470.6,0,1,0.860365,0.07237
57,582,0.735395,-320.9,0,1,0.740353,0.140841
58,604,0.854305,-475.8,0,1,0.849863,0.045554
59,608,0.815789,-438.7,0,1,0.81331,0.056579
60,556,0.71223,-297.7,0,1,0.708486,0.144153
61,633,0.872038,-509.5,0,1,0.873141,0.062966
62,548,0.740876,-344.6,0,1,0.734619,0.080152
63,627,0.743222,-350.1,0,1,0.75131,0.092417
64,582,0.745704,-318.0,0,1,0.745299,0.124426
65,618,0.84466,-442.0,0,1,0.837734,0.044969
66,615,0.855285,-481.7,0,1,0.848265,0.053645
67,544,0.709559,-301.9,0,1,0.716543,0.126853
68,632,0.876582,-501.4,0,1,0.869505,0.060804
69,615,0.8,-399.0,0,1,0.790139,0.099642
70,644,0.863354,-496.7,0,1,0.855626,0.062366
71,613,0.841762,-436.1,0,1,0.835753,0.053863
72,574,0.825784,-387.3,0,1,0.831101,0.063874
73,530,0.698113,-236.2,0,1,0.692989,0.181551
74,620,0.829032,-489.9,0,1,0.843044,0.055984
75,588,0.846939,-458.6,0,1,0.841342,0.037241
76,590,0.864407,-461.2,0,1,0.858863,0.059512
77,638,0.852665,-456.9,0,1,0.845504,0.061108
78,610,0.819672,-431.7,0,1,0.808005,0.051104
79,587,0.770017,-348.8,0,1,0.762572,0.112008
80,613,0.871126,-500.3,0,1,0.865254,0.037056
81,632,0.838608,-469.9,0,1,0.836017,0.058659
82,619,0.775444,-383.1,0,1,0.773645,0.132021
83,593,0.809444,-415.3,0,1,0.809086,0.073532
84,591,0.85956,-428.8,0,1,0.845785,0.061231
85,610,0.767213,-379.94,0,1,0.760069,0.073976
86,546,0.820513,-373.4,0,1,0.806823,0.067157
87,577,0.831889,-404.0,0,1,0.831259,0.053361
88,574,0.832753,-429.6,0,1,0.826004,0.03581
89,604,0.794702,-361.8,0,1,0.779086,0.100158
90,609,0.761905,-353.0,0,1,0.750656,0.087713
91,592,0.793919,-424.0,0,1,0.789234,0.069355
92,556,0.827338,-382.6,0,1,0.816225,0.072472
93,607,0.777595,-362.3,0,1,0.76583,0.125009
94,627,0.848485,-438.3,0,1,0.834293,0.081234
95,592,0.777027,-337.3,0,1,0.767481,0.093113
96,604,0.884106,-509.9,0,1,0.877685,0.037479
97,599,0.874791,-460.2,0,1,0.860707,0.060369
98,616,0.801948,-424.64,0,1,0.799312,0.070841
99,598,0.729097,-324.6,0,1,0.718111,0.10584
100,594,0.794613,-365.5,0,1,0.784493,0.089959
101,606,0.854785,-443.2,0,1,0.852687,0.048361
102,614,0.820847,-434.9,0,1,0.821213,0.063673
103,601,0.75208,-311.7,0,1,0.748306,0.158179
104,532,0.789474,-318.6,0,1,0.779862,0.114777
105,602,0.72093,-320.3,0,1,0.717203,0.13189
106,608,0.848684,-449.3,0,1,0.842687,0.047208
107,610,0.82623,-427.7,0,1,0.818673,0.055075
108,574,0.857143,-410.0,0,1,0.849215,0.064654
109,569,0.794376,-370.7,0,1,0.779534,0.071801
110,616,0.775974,-387.2,0,1,0.773118,0.078693
111,618,0.84466,-457.8,0,1,0.835709,0.072586
112,624,0.842949,-439.7,0,1,0.838897,0.088284
113,610,0.852459,-445.3,0,1,0.842114,0.05035
114,627,0.781499,-347.3,0,1,0.769232,0.102678
115,610,0.790164,-387.3,0,1,0.782808,0.060101
116,651,0.740399,-361.4,0,1,0.74237,0.133434
117,619,0.869144,-474.0,0,1,0.863319,0.051171
118,614,0.801303,-412.8,0,1,0.797556,0.059682
119,609,0.844007,-437.0,0,1,0.843857,0.066511
120,596,0.755034,-373.0,0,1,0.749539,0.076508
121,589,0.83871,-432.4,0,1,0.829229,0.081233
122,636,0.814465,-441.6,0,1,0.816056,0.079273
123,628,0.882166,-467.0,0,1,0.874066,0.051022
124,603,0.852405,-440.1,0,1,0.84244,0.050502
125,607,0.856672,-473.7,0,1,0.848037,0.041478
126,588,0.833333,-442.2,0,1,0.830366,0.098084
127,601,0.78203,-406.7,0,1,0.796161,0.090434
128,619,0.865913,-464.4,0,1,0.858168,0.047344
129,598,0.856187,-486.3,0,1,0.855638,0.056203
130,611,0.87725,-476.9,0,1,0.867527,0.058439
131,627,0.791069,-383.2,0,1,0.787324,0.086542
132,612,0.843137,-424.8,0,1,0.834207,0.076404
133,629,0.858506,-434.0,0,1,0.841295,0.089318
134,557,0.789946,-368.3,0,1,0.790243,0.077345
135,565,0.764602,-345.4,0,1,0.759327,0.059159
136,596,0.768456,-349.9,0,1,0.763046,0.087048
137,619,0.804523,-377.5,0,1,0.792345,0.068008
138,479,0.74739,-234.7,0,1,0.719772,0.16023
139,602,0.747508,-314.0,0,1,0.736495,0.124405
140,454,0.713656,-215.5,0,1,0.702499,0.141407
141,616,0.762987,-385.4,0,1,0.774939,0.114875
142,629,0.858506,-432.0,0,1,0.830798,0.1199
143,588,0.816327,-413.8,0,1,0.806482,0.066828
144,604,0.913907,-562.3,0,1,0.0,0.0
145,609,0.745484,-357.6,0,1,0.748357,0.111195
146,634,0.772871,-375.0,0,1,0.764992,0.088913
147,615,0.861789,-496.8,0,1,0.8567,0.060333
148,592,0.763514,-335.8,0,1,0.748695,0.134591
149,585,0.765812,-352.1,0,1,0.751942,0.103452
150,610,0.809836,-421.1,0,1,0.805842,0.048643
151,614,0.824104,-443.3,0,1,0.813317,0.072389
152,605,0.852893,-462.6,0,1,0.849265,0.037361
153,633,0.894155,-521.4,0,1,0.887852,0.033572
154,605,0.77686,-417.0,0,1,0.771414,0.064582
155,599,0.854758,-457.7,0,1,0.851093,0.039919
156,588,0.867347,-478.0,0,1,0.859071,0.061275
157,616,0.827922,-414.3,0,1,0.814707,0.085699
158,607,0.850082,-432.9,0,1,0.846124,0.047509
159,598,0.745819,-313.8,0,1,0.739071,0.126066
160,531,0.794727,-330.0,0,1,0.786808,0.081031
161,644,0.770186,-339.0,0,1,0.752933,0.117659
162,590,0.810169,-407.2,0,1,0.813903,0.072563
163,581,0.712565,-289.4,0,1,0.709782,0.135399
164,543,0.762431,-329.6,0,1,0.746467,0.153442
165,545,0.726606,-269.5,0,1,0.703139,0.153799
166,629,0.775835,-353.3,0,1,0.766215,0.082848
167,597,0.79062,-374.5,0,1,0.782455,0.086618
168,619,0.801292,-367.5,0,1,0.788146,0.097123
169,592,0.817568,-414.9,0,1,0.815329,0.064003
170,608,0.851974,-488.7,0,1,0.845122,0.057328
171,585,0.786325,-365.8,0,1,0.773366,0.108809
172,588,0.72449,-292.5,0,1,0.715148,0.103418
173,598,0.842809,-423.7,0,1,0.826953,0.080999
174,539,0.738404,-263.0,0,1,0.710794,0.169821
175,580,0.77931,-352.3,0,1,0.771513,0.099254
176,583,0.778731,-331.0,0,1,0.769502,0.121399
177,624,0.810897,-367.6,0,1,0.796092,0.102433
178,605,0.869421,-472.7,0,1,0.86153,0.074728
179,580,0.817241,-430.9,0,1,0.814272,0.040893
180,634,0.810726,-388.1,0,1,0.804344,0.08633
181,588,0.846939,-433.6,0,1,0.835445,0.066207
182,632,0.787975,-391.4,0,1,0.7867,0.127758
183,592,0.814189,-385.5,0,1,0.797423,0.087896
184,631,0.81141,-431.4,0,1,0.803883,0.090239
185,625,0.816,-487.53,0,1,0.839627,0.076566
186,616,0.831169,-417.0,0,1,0.826697,0.071745
187,585,0.806838,-423.0,0,1,0.802666,0.074254
188,619,0.814216,-411.3,0,1,0.807568,0.094244
189,645,0.806202,-424.4,0,1,0.803503,0.134759
190,610,0.770492,-323.7,0,1,0.754813,0.125186
191,599,0.831386,-426.0,0,1,0.821016,0.061385
192,630,0.863492,-478.8,0,1,0.853478,0.052617
193,608,0.832237,-449.1,0,1,0.83575,0.061049
194,579,0.766839,-343.4,0,1,0.753912,0.139417
195,599,0.801336,-366.6,0,1,0.787275,0.094137
196,586,0.808874,-434.4,0,1,0.803938,0.050339
197,617,0.86872,-480.8,0,1,0.859836,0.038852
198,611,0.883797,-498.7,0,1,0.87921,0.051673
199,553,0.835443,-410.2,0,1,0.831466,0.083351
200,563,0.742451,-280.7,0,1,0.735483,0.137737
201,616,0.840909,-472.8,0,1,0.832191,0.052829
202,543,0.714549,-288.0,0,1,0.714176,0.095341
203,594,0.851852,-431.9,0,1,0.838658,0.055417
204,627,0.889952,-503.9,0,1,0.884927,0.042813
205,559,0.740608,-279.0,0,1,0.722122,0.177166
206,596,0.791946,-385.6,0,1,0.792594,0.094617
207,620,0.86129,-495.9,0,1,0.856799,0.063122
208,613,0.815661,-421.5,0,1,0.806799,0.065898
209,615,0.845528,-468.67,0,1,0.836761,0.039834
210,593,0.782462,-354.4,0,1,0.767484,0.072982
211,630,0.857143,-468.3,0,1,0.85185,0.077377
212,577,0.783362,-306.1,0,1,0.773344,0.143143
213,604,0.834437,-409.8,0,1,0.820764,0.076344
214,607,0.777595,-384.3,0,1,0.774481,0.08679
215,574,0.766551,-340.3,0,1,0.760085,0.100447
216,605,0.826446,-394.0,0,1,0.811426,0.091624
217,569,0.762742,-329.9,0,1,0.753233,0.081503
218,644,0.782609,-391.4,0,1,0.763863,0.079454
219,616,0.818182,-416.0,0,1,0.811095,0.059182
220,555,0.796396,-324.5,0,1,0.776073,0.120923
221,587,0.780239,-358.57,0,1,0.758996,0.086279
222,614,0.81759,-402.9,0,1,0.808528,0.088831
223,575,0.772174,-340.4,0,1,0.764164,0.115216
224,601,0.775374,-384.5,0,1,0.768649,0.088609
225,562,0.715302,-301.6,0,1,0.716798,0.096892
226,610,0.786885,-400.8,0,1,0.786476,0.069856
227,584,0.770548,-311.7,0,1,0.746711,0.128316
228,616,0.834416,-409.4,0,1,0.822986,0.098143
229,583,0.734134,-295.1,0,1,0.723437,0.124914
230,657,0.773212,-422.5,0,1,0.789774,0.100584
231,614,0.863192,-483.3,0,1,0.854344,0.071862
232,628,0.834395,-460.3,0,1,0.826429,0.053161
233,612,0.764706,-331.7,0,1,0.757035,0.144305
234,594,0.882155,-476.3,0,1,0.877442,0.055426
235,573,0.834206,-411.3,0,1,0.822342,0.079927
236,632,0.835443,-461.2,0,1,0.830731,0.084175
237,608,0.828947,-391.7,0,1,0.809942,0.103956
238,535,0.740187,-304.2,0,1,0.753121,0.13931
239,537,0.759777,-279.6,0,1,0.743231,0.136873
240,626,0.859425,-451.6,0,1,0.846051,0.075906
241,605,0.842975,-426.8,0,1,0.832721,0.059557
242,610,0.790164,-424.6,0,1,0.792818,0.064515
243,611,0.824877,-426.0,0,1,0.811705,0.067017
244,539,0.779221,-340.9,0,1,0.772861,0.074593
245,619,0.82391,-429.1,0,1,0.819677,0.08986
246,590,0.833898,-444.47,0,1,0.831158,0.034053
247,696,0.807471,-476.8,0,1,0.799564,0.078455
248,540,0.781481,-358.09,0,1,0.778115,0.071999
249,651,0.789555,-404.9,0,1,0.790098,0.086778
250,630,0.853968,-510.2,0,1,0.850497,0.050206
251,634,0.851735,-471.2,0,1,0.839596,0.055936
252,627,0.893142,-510.4,0,1,0.885082,0.037448
253,611,0.743044,-351.2,0,1,0.744259,0.107616
254,588,0.802721,-404.9,0,1,0.803283,0.072626
255,585,0.82735,-385.1,0,1,0.814214,0.08594
256,615,0.747967,-317.4,0,1,0.728722,0.181333
257,631,0.81775,-435.9,0,1,0.812121,0.118402
258,572,0.776224,-345.1,0,1,0.768055,0.071699
259,601,0.715474,-309.3,0,1,0.707481,0.124955
260,608,0.786184,-397.3,0,1,0.782634,0.097523
261,602,0.76412,-340.6,0,1,0.743556,0.138863
262,566,0.713781,-258.2,0,1,0.693709,0.177088
263,606,0.782178,-350.9,0,1,0.767734,0.088507
264,632,0.835443,-453.4,0,1,0.832399,0.052594
265,621,0.782609,-389.7,0,1,0.771462,0.078808
266,609,0.844007,-505.4,0,1,0.861101,0.059274
267,609,0.758621,-334.0,0,1,0.749804,0.126861
268,590,0.823729,-394.5,0,1,0.818365,0.08456
269,596,0.798658,-380.8,0,1,0.79222,0.060849
270,589,0.709677,-342.35,0,1,0.713,0.099193
271,615,0.852033,-451.7,0,1,0.848228,0.06592
272,617,0.875203,-497.8,0,1,0.87127,0.03091
273,593,0.839798,-468.44,0,1,0.841285,0.058114
274,615,0.861789,-497.6,0,1,0.857125,0.034434
275,627,0.826156,-401.2,0,1,0.814282,0.082538
276,607,0.892916,-501.5,0,1,0.88818,0.040109
277,617,0.823339,-398.4,0,1,0.813696,0.071109
278,625,0.832,-460.3,0,1,0.824522,0.055838
279,612,0.875817,-460.7,0,1,0.861602,0.069945
280,632,0.81962,-464.8,0,1,0.808682,0.080161
281,608,0.782895,-390.0,0,1,0.781751,0.088634
282,572,0.751748,-296.9,0,1,0.732769,0.129425
283,637,0.803768,-418.3,0,1,0.787866,0.079297
284,619,0.827141,-421.2,0,1,0.819465,0.056287
285,614,0.80456,-406.6,0,1,0.796339,0.066396
286,598,0.812709,-430.5,0,1,0.807928,0.066869
287,535,0.803738,-357.0,0,1,0.794492,0.081545
288,619,0.833603,-451.5,0,1,0.833852,0.071733
289,613,0.773246,-370.5,0,1,0.763634,0.088988
290,624,0.772436,-374.2,0,1,0.759626,0.093387
291,598,0.792642,-379.2,0,1,0.784186,0.06483
292,614,0.869707,-494.6,0,1,0.863991,0.047275
293,619,0.85622,-477.7,0,1,0.848177,0.056465
294,603,0.772803,-352.5,0,1,0.762869,0.127302
295,531,0.768362,-293.5,0,1,0.756623,0.118307
296,597,0.79732,-383.0,0,1,0.792165,0.083671
297,610,0.796721,-454.8,0,1,0.831072,0.080004
298,607,0.879736,-472.8,0,1,0.867749,0.050835
299,629,0.807631,-397.8,0,1,0.790704,0.088012
300,528,0.731061,-295.0,0,1,0.739793,0.134395
301,608,0.832237,-414.5,0,1,0.826082,0.059083
302,627,0.838915,-424.7,0,1,0.830617,0.04625
303,578,0.847751,-403.8,0,1,0.836421,0.055153
304,600,0.82,-419.1,0,1,0.814234,0.05974
305,610,0.859016,-468.9,0,1,0.856578,0.035223
306,615,0.760976,-372.3,0,1,0.754185,0.104482
307,615,0.84878,-457.2,0,1,0.838911,0.048163
308,613,0.858075,-479.8,0,1,0.855569,0.026846
309,601,0.765391,-390.5,0,1,0.762209,0.082138
310,620,0.864516,-479.9,0,1,0.859082,0.057203
311,600,0.826667,-394.1,0,1,0.812165,0.107475
312,519,0.789981,-310.7,0,1,0.772124,0.100305
313,556,0.794964,-348.7,0,1,0.788733,0.111947
314,610,0.855738,-458.4,0,1,0.850234,0.067814
315,646,0.789474,-382.8,0,1,0.780746,0.072981
316,609,0.775041,-373.8,0,1,0.772357,0.079344
317,611,0.831424,-441.9,0,1,0.821318,0.038553
318,602,0.82392,-450.2,0,1,0.817513,0.048908
319,603,0.802653,-423.14,0,1,0.802098,0.050585
320,557,0.861759,-440.8,0,1,0.857322,0.057577
321,591,0.788494,-327.0,0,1,0.770953,0.096641
322,610,0.813115,-397.7,0,1,0.806649,0.093878
323,576,0.774306,-308.9,0,1,0.763571,0.113538
324,585,0.806838,-395.78,0,1,0.802822,0.073467
325,603,0.859038,-470.9,0,1,0.852511,0.054512
326,598,0.832776,-488.3,0,1,0.832986,0.052349
327,600,0.776667,-358.0,0,1,0.763207,0.081041
328,566,0.80212,-369.8,0,1,0.79393,0.090025
329,568,0.728873,-326.67,0,1,0.724335,0.099238
330,617,0.842788,-443.3,0,1,0.83637,0.043633
331,537,0.692737,-236.8,0,1,0.68115,0.179187
332,610,0.763934,-316.2,0,1,0.749382,0.102701
333,630,0.828571,-411.6,0,1,0.820273,0.063148
334,585,0.77265,-372.6,0,1,0.761074,0.073699
335,643,0.765163,-364.4,0,1,0.754287,0.122384
336,617,0.849271,-467.61,0,1,0.842266,0.048077
337,634,0.845426,-455.1,0,1,0.831374,0.098183
338,629,0.848967,-501.8,0,1,0.846556,0.081528
339,583,0.830189,-415.3,0,1,0.82147,0.054876
340,597,0.737018,-287.5,0,1,0.731851,0.121217
341,589,0.804754,-388.2,0,1,0.797218,0.063829
342,611,0.828151,-440.1,0,1,0.828711,0.062061
343,582,0.776632,-318.8,0,1,0.767124,0.077072
344,613,0.80261,-414.4,0,1,0.806119,0.082927
345,618,0.71521,-300.5,0,1,0.689923,0.141096
346,611,0.873977,-463.3,0,1,0.869953,0.059989
347,498,0.666667,-219.0,0,1,0.667466,0.190691
348,521,0.794626,-349.6,0,1,0.798364,0.112638
349,609,0.804598,-414.1,0,1,0.804288,0.07075
350,617,0.884927,-491.2,0,1,0.873287,0.042481
351,543,0.791897,-325.7,0,1,0.779584,0.076616
352,531,0.715631,-255.27,0,1,0.709398,0.153578
353,588,0.809524,-424.24,0,1,0.807812,0.05179
354,619,0.82391,-439.7,0,1,0.822139,0.080218
355,519,0.693642,-250.4,0,1,0.679827,0.181028
356,632,0.806962,-480.8,0,1,0.82989,0.079086
357,581,0.833046,-417.6,0,1,0.828475,0.064319
358,602,0.873754,-453.7,0,1,0.861187,0.062847
359,608,0.694079,-302.0,0,1,0.694212,0.128474
360,619,0.817447,-431.3,0,1,0.809461,0.059901
361,589,0.828523,-430.8,0,1,0.825443,0.035401
362,597,0.864322,-457.9,0,1,0.851714,0.057284
363,610,0.888525,-498.9,0,1,0.883981,0.03767
364,621,0.795491,-435.7,0,1,0.808897,0.066443
365,623,0.81862,-397.1,0,1,0.805776,0.085024
366,623,0.869984,-510.6,0,1,0.867611,0.053939
367,637,0.77551,-353.6,0,1,0.761526,0.129208
368,609,0.784893,-376.5,0,1,0.784093,0.096001
369,536,0.723881,-281.9,0,1,0.72653,0.140019
370,609,0.866995,-499.1,0,1,0.859967,0.052143
371,603,0.822554,-443.9,0,1,0.819518,0.064349
372,592,0.834459,-453.6,0,1,0.832379,0.040892
373,610,0.84918,-438.9,0,1,0.8401,0.074095
374,571,0.830123,-456.7,0,1,0.837264,0.070111
375,598,0.832776,-422.4,0,1,0.824578,0.086657
376,600,0.83,-424.6,0,1,0.825825,0.067483
377,606,0.874587,-473.6,0,1,0.870151,0.043102
378,609,0.860427,-481.6,0,1,0.852593,0.055057
379,612,0.79085,-394.2,0,1,0.789931,0.100665
380,602,0.727575,-313.2,0,1,0.730156,0.10958
381,619,0.849758,-459.0,0,1,0.839397,0.058032
382,615,0.793496,-357.2,0,1,0.779781,0.101634
383,597,0.80067,-396.3,0,1,0.788807,0.122025
384,612,0.856209,-467.0,0,1,0.848278,0.047474
385,589,0.78438,-331.5,0,1,0.770394,0.100948
386,592,0.77027,-357.7,0,1,0.774592,0.120449
387,618,0.786408,-379.5,0,1,0.78387,0.086296
388,563,0.69627,-307.3,0,1,0.692103,0.102564
389,578,0.743945,-327.78,0,1,0.746256,0.10658
390,613,0.877651,-480.3,0,1,0.872742,0.060546
391,620,0.783871,-369.4,0,1,0.766863,0.098808
392,606,0.838284,-452.8,0,1,0.847256,0.063524
393,634,0.772871,-358.6,0,1,0.756331,0.105618
394,613,0.78956,-379.6,0,1,0.781352,0.074293
395,590,0.871186,-464.1,0,1,0.861862,0.042307
396,645,0.862016,-476.3,0,1,0.85223,0.067551
397,626,0.779553,-356.0,0,1,0.760437,0.127421
398,610,0.839344,-439.6,0,1,0.829876,0.057671
399,593,0.833052,-421.9,0,1,0.823199,0.060725
400,567,0.80776,-389.7,0,1,0.804743,0.086667
401,538,0.732342,-281.5,0,1,0.727209,0.188738
402,609,0.837438,-437.0,0,1,0.834899,0.055125
403,628,0.786624,-381.6,0,1,0.774295,0.104367
404,623,0.82183,-448.9,0,1,0.812524,0.060564
405,605,0.790083,-408.0,0,1,0.795181,0.088576
406,626,0.84984,-462.3,0,1,0.853447,0.062352
407,531,0.708098,-276.8,0,1,0.715535,0.156619
408,591,0.80203,-410.2,0,1,0.802792,0.066282
409,601,0.855241,-456.4,0,1,0.849077,0.046796
410,587,0.797274,-380.6,0,1,0.791896,0.125304
411,598,0.826087,-412.1,0,1,0.814809,0.077027
412,633,0.818325,-446.4,0,1,0.819744,0.095643
413,512,0.710938,-252.9,0,1,0.703878,0.140207
414,599,0.767947,-368.3,0,1,0.762158,0.090468
415,510,0.764706,-288.9,0,1,0.74874,0.109634
416,548,0.806569,-386.6,0,1,0.800195,0.043894
417,617,0.852512,-456.4,0,1,0.842506,0.055848
418,605,0.819835,-398.7,0,1,0.806794,0.069179
419,605,0.790083,-423.8,0,1,0.795855,0.09752
420,608,0.871711,-511.1,0,1,0.867807,0.03653
421,614,0.846906,-442.4,0,1,0.835459,0.056865
422,591,0.883249,-510.9,0,1,0.877352,0.022044
423,588,0.826531,-406.8,0,1,0.818442,0.083685
424,606,0.851485,-441.5,0,1,0.844702,0.062244
425,612,0.816993,-420.2,0,1,0.810692,0.062991
426,623,0.81862,-401.8,0,1,0.806134,0.079366
427,582,0.773196,-353.2,0,1,0.767528,0.080112
428,547,0.78245,-319.3,0,1,0.7625,0.110706
429,601,0.792013,-365.0,0,1,0.78487,0.106075
430,626,0.757188,-346.7,0,1,0.754114,0.127083
431,563,0.831261,-425.6,0,1,0.820453,0.070984
432,595,0.840336,-491.0,0,1,0.850383,0.047353
433,606,0.848185,-472.6,0,1,0.844089,0.045117
434,600,0.78,-359.4,0,1,0.766428,0.091246
435,633,0.853081,-485.1,0,1,0.848587,0.063111
436,601,0.801997,-373.2,0,1,0.77936,0.137702
437,561,0.834225,-367.6,0,1,0.823771,0.072513
438,522,0.704981,-262.4,0,1,0.709806,0.156096
439,619,0.885299,-493.5,0,1,0.877539,0.052918
440,621,0.869565,-463.2,0,1,0.862454,0.039146
441,569,0.87522,-483.8,0,1,0.872873,0.046752
442,575,0.852174,-441.9,0,1,0.850348,0.049928
443,621,0.824477,-404.2,0,1,0.808195,0.083298
444,626,0.824281,-448.2,0,1,0.825,0.085058
445,617,0.73906,-339.03,0,1,0.734311,0.087228
446,613,0.85155,-461.9,0,1,0.844978,0.044617
447,606,0.834983,-416.4,0,1,0.826272,0.06434
448,562,0.793594,-322.3,0,1,0.778011,0.145345
449,585,0.844444,-411.8,0,1,0.837449,0.059073
450,620,0.832258,-440.0,0,1,0.819981,0.061198
451,562,0.83274,-399.7,0,1,0.820503,0.056146
452,611,0.805237,-398.2,0,1,0.798816,0.090424
453,621,0.898551,-547.5,0,1,0.893222,0.031854
454,604,0.880795,-478.4,0,1,0.874349,0.047206
455,626,0.900958,-541.8,0,1,0.896178,0.055736
456,601,0.742097,-359.9,0,1,0.746309,0.097914
457,529,0.816635,-370.2,0,1,0.808104,0.063739
458,588,0.816327,-374.7,0,1,0.801352,0.073769
459,601,0.805324,-349.9,0,1,0.785148,0.107653
460,599,0.854758,-435.6,0,1,0.846756,0.074067
461,599,0.821369,-385.4,0,1,0.802587,0.100506
462,629,0.868045,-477.3,0,1,0.860336,0.047346
463,614,0.882736,-499.1,0,1,0.880467,0.042854
464,612,0.810458,-438.87,0,1,0.818369,0.067259
465,609,0.870279,-501.8,0,1,0.861875,0.036946
466,633,0.824645,-464.4,0,1,0.819329,0.085769
467,575,0.897391,-523.4,0,1,0.893566,0.018055
468,584,0.842466,-463.2,0,1,0.840207,0.037448
469,599,0.767947,-358.7,0,1,0.758118,0.083252
470,582,0.776632,-342.0,0,1,0.762798,0.097175
471,610,0.770492,-379.7,0,1,0.771668,0.094557
472,612,0.869281,-475.5,0,1,0.862984,0.039804
473,594,0.750842,-300.1,0,1,0.735631,0.109906
474,564,0.787234,-358.3,0,1,0.786823,0.111639
475,542,0.822878,-357.2,0,1,0.811567,0.099321
476,625,0.7424,-334.4,0,1,0.728433,0.14162
477,526,0.661597,-212.1,0,1,0.663523,0.177812
478,611,0.805237,-395.5,0,1,0.797189,0.101487
479,616,0.844156,-464.4,0,1,0.830963,0.068434
480,638,0.884013,-502.2,0,1,0.877263,0.035941
481,596,0.795302,-363.5,0,1,0.775632,0.115277
482,595,0.766387,-332.3,0,1,0.759358,0.089952
483,588,0.772109,-352.6,0,1,0.766405,0.108691
484,630,0.809524,-394.0,0,1,0.802194,0.098811
485,596,0.832215,-385.7,0,1,0.816854,0.091382
486,635,0.781102,-373.0,0,1,0.766258,0.119046
487,612,0.869281,-486.7,0,1,0.870022,0.045648
488,647,0.689335,-308.2,0,1,0.697721,0.181348
489,635,0.850394,-433.9,0,1,0.831042,0.083454
490,602,0.760797,-338.3,0,1,0.743329,0.100044
491,606,0.785479,-416.9,0,1,0.798149,0.087796
492,605,0.842975,-456.4,0,1,0.837244,0.053147
493,565,0.757522,-340.64,0,1,0.745439,0.12454
494,618,0.893204,-511.0,0,1,0.882243,0.058725
495,625,0.784,-411.2,0,1,0.782405,0.079807
